Number of bedrooms,Number of bathrooms,Living area sqft,Number of schools nearby,Distance from the airport,Price
4,2.5,2920,2,51,1400000
5,2.75,2910,1,53,1200000
4,2.5,3310,3,76,838000
3,2,2710,1,51,805000
3,2.5,2600,1,67,790000
5,3.25,3660,3,72,785000
3,1.75,2240,3,71,750000
3,2.5,2390,1,73,750000
4,2.25,2200,2,53,698000
5,2.5,2820,2,51,675000
4,2,1820,2,69,650000
4,2,1520,3,80,640000
4,2.75,2710,1,74,630000
3,2.25,1750,3,51,626000
4,2.5,2820,3,55,625000
4,3.25,2730,1,70,625000
3,1.75,2360,2,75,615000
4,2.5,2730,2,70,612500
3,2.5,3240,1,71,604000
3,1.75,2330,1,60,588500
4,2.5,3310,2,80,555000
4,2.5,1940,1,58,550000
3,1.75,2910,3,50,550000
4,2.5,2860,3,73,499950
4,1.75,1600,3,50,495000
4,1.75,2190,3,64,491500
2,1,880,3,66,490000
4,2.5,2710,3,71,482000
5,2.5,2210,3,79,470000
3,1.75,1710,1,72,463000
3,2.5,2680,2,74,459990
3,2.5,2430,3,78,452500
3,2.5,1270,3,61,445700
4,2.25,2160,2,52,440000
2,1,800,2,60,440000
3,2.5,1770,3,68,439950
3,2.25,1970,2,70,437500
3,2.5,1770,3,52,436110
4,1,1450,2,62,435000
4,1.5,1920,2,64,430000
3,2.25,2000,1,61,420000
3,1.5,1570,3,78,419000
3,2.5,1930,1,63,407500
3,2,1960,3,72,403000
4,2.5,3630,1,80,400000
3,3.25,1320,2,51,385000
4,1.75,1560,3,74,382500
4,3,3110,3,66,367500
3,1,1090,3,80,365000
3,2,1930,2,66,342000
2,2,1350,1,77,335000
3,2.25,1580,3,56,335000
3,1,1160,1,52,315000
3,1.5,1340,3,65,313000
2,1,850,1,60,308500
3,2.5,2540,2,64,300000
2,2.5,1630,1,74,295000
3,3,1850,2,58,287200
4,2.5,2200,3,80,285000
3,2.5,2090,2,56,285000
3,1.75,1800,3,62,284000
3,1.5,1180,3,78,275000
4,2,1480,1,60,260000
3,1.75,1370,3,56,257950
3,1.5,1200,3,77,242500
2,1,1210,3,73,235000
4,2.75,2920,1,62,625000
2,1,900,1,68,553000
3,2.5,1650,2,57,379880
3,1,1010,3,60,310000
3,2.5,2850,1,52,783500
2,2.5,2680,2,65,775000
4,2,2280,1,51,628000
3,2.5,2200,2,53,365000
4,2.5,2530,2,59,331950
7,8,13540,1,55,2280000
2,2.5,2220,3,67,1430000
5,3.5,4010,1,50,1400000
4,2.5,4340,1,73,1090000
5,2.75,3190,1,53,1030000
3,1,1330,3,52,900000
4,4.25,4420,1,57,890000
5,3.5,4490,2,70,890000
4,3,3690,3,62,865000
4,2.75,2600,2,69,855000
4,3,2170,3,73,831000
4,2.5,3400,3,58,830000
6,1.75,2920,3,68,823000
5,2.5,3180,1,76,800866
3,2.5,3240,3,66,800000
3,1.75,1330,3,56,787000
4,2.5,2730,3,79,780000
3,2,2350,1,77,770000
4,2.5,2120,2,73,755000
4,1.75,2010,2,55,740000
4,2.5,3180,2,77,736500
4,2.5,2450,1,75,712198
3,2.5,2490,3,59,705380
3,2.5,1680,3,69,670000
4,2.5,2800,2,63,665000
4,1,1390,1,68,657100
3,1.5,2160,2,75,650000
4,2.5,2440,2,77,631625
4,2.25,1990,3,61,627000
3,1.75,1480,2,52,620000
3,2,1800,1,69,618500
4,1.75,2300,3,50,615000
3,1.75,1670,1,77,600000
3,1.75,1880,2,57,600000
2,1,1770,3,77,585000
2,1,2540,3,77,580000
3,2.25,2010,2,78,570000
3,2.5,1900,2,58,560000
3,2.5,1940,3,60,555000
2,1,1140,1,68,549000
4,2.5,2910,3,54,549000
5,2.75,2740,1,69,541125
2,3,1270,1,71,531000
5,1.75,2550,2,65,525888
3,1.75,1560,3,70,524000
3,2.5,1790,1,79,509900
4,1,2070,2,56,501000
4,2.5,2910,1,50,499000
6,2.75,3200,2,56,497300
4,1.75,2010,3,62,487585
4,3,2340,1,53,485000
3,2.5,3040,2,79,478000
4,2,1480,1,73,449250
5,2,1840,3,78,435000
2,2.5,1590,2,80,419190
3,2,1410,2,51,418000
3,2.5,1408,1,64,416286
3,2.25,1620,3,59,415000
3,2.25,1800,1,74,410000
3,2.25,1410,2,70,406100
2,3,1410,3,74,405000
2,1.75,2110,2,77,400000
2,1,840,2,79,400000
3,2.5,2230,3,78,398750
5,2.5,3090,2,63,384900
4,1.75,1970,1,72,379950
3,3,1571,1,62,366750
5,1,1120,3,69,340000
2,1.5,1160,1,72,340000
2,1,1140,2,65,329950
4,2.5,2370,3,60,328000
4,2.75,2310,3,68,309950
3,2.5,1880,3,52,309950
3,2,1050,3,56,300000
3,1,1450,2,61,287000
3,2,1550,3,65,249950
3,1.75,1920,3,54,245000
2,1,1200,2,56,232000
4,1.5,1240,1,52,220000
4,1.5,1120,3,77,219900
3,1,1340,1,58,210000
5,2,2050,1,73,210000
2,1,810,2,75,206000
3,1.75,1490,1,55,184000
5,4,4510,1,65,1870000
5,5,4490,1,68,1800000
4,3.25,3760,3,62,1580000
4,2.25,3490,1,61,1230000
4,2.75,3370,2,60,1140000
3,2.5,2200,3,65,1050000
3,2.5,2690,1,65,979000
3,3.5,3020,1,60,910000
4,2,3740,2,73,860000
4,2.5,3040,2,57,776000
4,2.5,3880,3,55,762300
4,2.5,2290,1,50,736000
4,2.5,3200,2,61,725126
4,2.5,3030,3,74,685000
2,1,930,3,79,675000
4,3.5,3380,2,76,655500
3,1.5,1630,1,65,650000
5,3.5,3480,3,66,650000
4,2,2060,1,66,612500
4,3,2450,2,78,610000
4,2.5,2150,2,69,609000
4,2.5,2110,2,50,606000
4,2.25,2260,3,58,599000
4,3.25,3569,1,69,580000
3,1.75,2130,3,58,575000
4,3,3100,2,67,563000
5,2.25,3040,3,72,562000
3,2,2000,2,62,561000
3,2.5,1850,3,56,535000
5,2.75,1800,1,79,533000
5,2.5,2910,3,54,530000
3,2.5,2970,3,70,525000
3,2.5,2460,1,77,520000
3,1.5,1430,2,78,518000
3,2.5,1790,3,71,515000
4,2.5,2000,3,72,513000
3,2.5,1480,1,56,500000
2,1.75,1170,1,54,499000
5,2,2020,1,57,488000
3,2,1420,2,55,485000
2,1.75,1660,2,76,484000
4,2.5,2740,2,70,483500
6,3,3470,3,65,475000
2,1,1030,2,61,469000
3,2.25,1970,3,56,465000
2,2.25,1230,2,73,460000
5,2.5,2240,2,52,455000
2,2,1100,3,70,450000
4,2,1520,1,60,425000
4,2.25,2810,1,71,407000
4,1.75,1840,1,64,404000
4,2,1440,3,66,397000
3,1.75,1260,3,51,390000
5,3.75,2890,1,72,390000
3,1,1230,2,56,387000
3,1.75,1900,3,50,385000
4,1.75,1500,2,65,379900
3,2,1270,2,59,369950
3,1.5,1410,2,78,367500
3,1.5,1310,1,69,365000
3,2.25,1640,2,70,362000
4,2,2680,1,54,360000
3,1,1350,2,64,353000
4,2.5,2331,2,65,345000
3,1,1110,3,61,345000
2,1,720,2,53,329350
4,2.5,1890,1,78,325000
3,1,1510,2,73,313950
4,2,1300,1,64,312000
3,2.25,1980,3,51,295000
4,2.5,2000,3,73,284000
3,1.75,1630,2,75,280000
3,1.75,1580,3,79,279900
3,2.5,1650,1,61,272000
3,1,1050,3,53,250000
3,1.75,1490,1,74,234000
2,1,900,2,68,219000
3,1.75,1850,2,55,218000
3,1.75,1690,2,52,197000
3,1.5,800,2,50,191000
3,1,1010,1,50,175000
3,1.5,1420,1,71,136500
2,1,780,2,51,78000
7,4.5,6210,1,64,3200000
5,4.5,4270,2,72,1530000
6,2.5,3560,2,66,1500000
3,3,2960,3,80,1340000
4,4,4460,3,77,1150000
4,1.5,2310,2,61,1110000
4,3.5,3900,2,73,1040000
4,2.25,1890,1,62,940000
5,3.75,4130,3,55,900000
4,2,2210,1,65,794154
3,2,2540,2,72,775000
4,2.75,2410,2,63,758000
3,2.75,2520,2,80,750000
4,2.75,2600,2,78,749950
4,2.5,2650,3,53,705000
3,2,1760,3,74,690000
3,1.75,1680,2,70,675000
4,4,3680,2,79,675000
3,2.5,3240,2,71,651000
3,3,2270,1,62,640000
3,2.5,2680,1,55,630000
2,2.25,2550,3,80,630000
3,2.5,2030,1,66,618080
3,3,1680,3,62,610950
3,2.5,2460,1,55,600000
9,4.5,3830,1,62,599999
3,1.75,1960,2,66,599000
4,2,2510,2,74,581000
4,2,1650,3,53,575000
3,2,2350,1,65,568000
3,3,4120,3,51,560000
3,2,1860,3,57,560000
7,5.75,3700,1,65,540000
3,1.75,2720,1,58,535000
3,2.5,2280,3,65,535000
3,1,1340,2,71,530000
2,2,1550,3,66,526000
3,2.25,1170,3,59,519950
3,1.75,1580,3,62,515000
4,2.5,2430,3,58,510000
3,2.75,1540,3,67,503000
2,1,1010,1,65,500000
3,2.5,1940,1,69,500000
3,1,990,1,57,495000
4,2.75,2656,1,72,495000
4,2.5,3305,1,58,492000
3,2,1610,2,70,485000
4,2.5,2180,1,76,480500
2,1,820,1,80,475000
3,2,1760,2,61,460000
3,1.75,1500,3,68,440000
2,2,1350,1,80,428000
2,2.5,1150,2,61,425000
2,1.5,1040,2,72,420000
3,2.25,1770,2,73,420000
3,2.25,1606,2,71,417250
4,3,1830,1,66,415000
4,2.75,2140,3,67,409500
3,2.25,1660,3,74,405000
5,1.75,3000,1,66,380000
2,1,1640,3,66,379500
3,2.5,1830,1,50,375000
5,2.75,2410,3,78,365000
2,1,820,2,66,361280
5,2.5,2420,2,55,352000
3,1,1010,1,67,350000
3,2.25,1630,2,59,339950
2,1,820,2,56,339950
3,2,1570,3,59,335000
3,1,1040,1,76,314950
3,1.75,1870,2,77,314500
3,1.75,2190,1,66,313000
3,1.75,1840,2,62,310000
3,1.75,2070,2,76,310000
3,2.5,1600,2,73,305450
2,1,760,2,73,300000
3,2.5,1600,2,62,280000
3,2.5,1600,2,56,275000
5,1.5,1500,1,63,265000
5,2.25,2060,1,60,255000
3,1.75,1250,1,53,253000
1,1,1100,3,62,250000
3,1,1110,3,69,249000
4,1.75,1720,3,66,248500
3,1,1400,2,61,246000
3,1.5,1260,3,65,245000
3,2,1410,2,73,239900
3,2.5,1920,1,80,230000
3,1.75,1640,2,78,226500
3,1.5,1380,1,78,209950
4,1,1490,2,68,185000
2,1,1040,1,66,160000
2,1,910,2,79,100000
6,3,3510,3,55,1750000
3,1.75,2430,3,59,1500000
5,3.25,2800,3,79,1310000
4,3.25,3820,1,72,1250000
4,3,2920,2,67,1050000
4,1,3410,1,58,1040000
3,2.75,2015,2,71,988500
5,2.5,3160,2,52,980000
3,3.25,2640,1,78,930000
3,2.5,2920,3,65,868500
4,2,1910,1,63,835000
5,3,3040,2,50,830000
3,2.75,3010,3,58,785000
4,1.75,2480,2,75,780000
4,2.5,2660,2,64,753888
3,2.5,1690,3,51,719000
4,2.5,3290,3,63,716500
3,1,1250,1,60,712000
3,1.75,1320,2,52,660000
4,1.75,2060,1,69,647500
2,1.75,1230,2,79,636000
2,1,1540,3,72,615000
3,2.5,1750,2,66,595000
2,3,3160,2,60,589900
4,2.25,2250,2,55,569000
2,2,1870,2,76,559950
2,2.5,1360,2,65,553650
3,2.25,1780,3,68,545000
6,2.25,2820,3,62,543200
4,1.75,1840,1,78,538000
4,2.5,2550,1,69,537500
4,2.5,2280,3,65,535000
3,1,1670,1,62,533000
3,1.75,1980,2,77,530000
4,2.75,2280,2,50,530000
3,2.25,2430,3,53,524000
2,1,1060,3,57,515000
3,1.75,1410,3,54,500000
2,1.5,1110,2,56,499000
3,2.5,2310,3,58,494000
5,2.25,2440,2,50,489990
3,2,1510,2,78,450000
2,1.5,1020,2,69,441750
2,1,980,3,77,438000
3,1.75,1310,3,68,437000
3,1.75,1460,1,63,424500
3,2.5,1540,1,53,413450
2,1,1020,3,69,405000
3,2.75,2090,1,60,403000
3,2.5,1960,1,66,402000
3,1.75,1890,1,75,385000
6,2.25,3206,3,77,375000
2,1.5,960,2,68,358000
4,1.75,2250,1,58,350000
3,1.75,1590,2,66,349000
4,2.5,2460,2,76,347500
3,1.5,2240,2,63,335000
2,2,1550,3,75,330000
4,2.5,2320,2,51,325900
2,1.25,860,2,52,321950
3,1.75,1890,2,74,307000
3,2,1240,2,74,297950
2,1.75,2200,3,74,295000
3,2.5,1920,1,64,295000
4,2.5,1810,1,59,270000
3,2.5,1940,2,52,266000
4,2.5,2020,1,78,262000
4,1.5,2130,3,63,260000
4,1.75,1730,2,53,258000
3,1.75,1390,1,71,246000
3,1.5,1260,3,70,245000
2,1,1270,1,72,235000
3,1.75,950,1,51,230000
3,1,1390,3,55,230000
3,2.5,1190,1,61,229000
4,1.75,2000,2,77,228000
4,1,2100,1,78,211000
3,1,1490,3,54,207000
2,1,720,1,60,205000
2,1.5,980,1,70,134000
2,1,520,2,69,82500
3,2.25,3000,2,72,2400000
5,6.5,7270,1,68,2240000
5,4.5,5190,1,64,1700000
4,2.75,3720,3,75,1370000
4,4.25,5860,2,72,1160000
4,2.25,4230,3,68,985000
4,3,3750,2,57,920000
3,2.5,3560,1,69,851000
4,3.5,3810,1,78,839900
4,2.75,3780,2,52,833000
4,3.25,3540,2,67,800000
4,2.5,2830,2,80,782000
4,3.5,2730,2,70,769900
4,2.75,2790,2,61,765000
3,2.25,2950,1,63,759000
4,2.75,3100,3,79,742500
2,2.5,2200,1,78,705000
3,3,2480,2,76,610000
4,2.5,2260,2,72,604000
4,2.25,2430,3,53,590000
4,3.25,2400,2,70,585000
4,2.5,2660,3,66,583000
4,2.5,2840,1,74,580000
3,2.25,1660,2,64,566000
4,2.25,2470,2,50,565000
4,2.5,2840,2,78,557000
4,2.5,2330,3,57,542500
4,1.75,2000,3,50,536500
3,1.75,1300,1,74,536000
5,3,3480,3,68,532000
3,2.5,2030,1,72,525000
3,2,1400,1,54,511555
3,2.5,2100,1,67,505000
3,1.75,1750,3,76,491300
2,1,1840,1,53,490000
3,2,1410,2,51,481450
4,2.5,1930,1,51,465000
2,1,1150,1,64,463000
4,1.75,1750,1,58,460000
4,2,1650,1,65,445000
2,2,1150,3,67,445000
4,2.25,2170,3,60,431000
3,1,1620,2,52,428750
4,2.25,3060,1,65,415000
4,2.5,2600,3,71,402500
3,2.25,1445,3,53,387000
3,3.25,1410,2,72,382000
3,2,1340,3,74,376000
2,1,1420,2,73,360000
3,2.25,1640,2,58,352000
3,1.75,1780,2,63,336900
4,2.5,1940,2,71,330000
3,2.25,1352,2,68,325000
4,1.5,1470,1,56,325000
3,2.25,998,1,71,324000
4,2.75,1970,3,67,323000
4,2.25,2310,1,55,320000
5,1.75,2320,3,75,315000
4,2.25,1930,3,75,312000
4,2.25,2130,2,72,311100
3,1.5,1060,2,54,303500
4,2.5,2000,3,57,290000
3,1.75,1390,2,63,280950
4,2,2190,2,65,280000
3,1.5,1390,2,53,275000
3,1.5,1500,2,50,270000
3,2,1690,1,50,270000
3,2,1920,1,62,260000
3,2.5,1420,3,77,260000
2,1,960,2,50,255000
2,1,810,2,64,255000
3,2.5,1850,3,78,254000
3,1,1030,1,76,252500
3,1.75,1220,3,58,251000
4,3,2163,3,68,248000
3,1,1360,2,74,234950
3,2.5,2000,1,72,225000
4,1,1430,1,71,224500
2,1.5,1020,3,70,212000
3,1,1160,1,71,201500
2,1,720,1,56,195000
4,2,2520,2,75,875000
5,2.75,3060,1,70,549900
3,2.5,1350,2,78,394950
3,2.5,2130,2,55,320000
4,1,1940,2,63,265000
4,2.5,2160,1,67,842500
3,2.5,1370,2,61,368000
5,2.75,3650,2,53,1580000
5,1.75,3380,3,59,1350000
4,3.5,3460,1,74,1320000
4,3.25,2330,1,74,1300000
4,3.75,3490,1,58,1260000
4,4.5,5420,3,59,1230000
4,2.25,3070,3,62,1230000
3,1.75,1560,2,52,1200000
3,2.5,3720,2,74,1080000
4,3.75,3280,2,64,1050000
4,3.25,3270,2,72,1030000
3,2.5,2920,3,66,1020000
5,3,4530,1,79,950000
4,2.25,3290,2,80,947500
3,2.75,2980,1,73,947500
4,2.75,3300,1,55,927000
3,2,2700,2,65,910000
4,3.25,4700,3,51,900000
4,2.5,2830,3,67,885000
3,3.25,2170,2,68,876650
4,2.5,2350,2,77,870300
4,1.75,2350,3,50,850000
4,2.75,2600,3,68,840000
5,4.5,4630,3,77,809000
4,3.25,3680,3,72,788000
3,1.75,1720,3,78,770000
4,2.5,3110,2,76,751000
4,2.5,2980,2,58,750000
3,2.5,2620,2,66,746000
4,2.5,2760,3,64,734200
4,2.5,2670,1,62,690000
4,3,2400,3,58,675000
4,2.5,2550,3,57,660000
4,2.5,3040,3,52,647000
3,2.5,1570,1,55,635000
4,2,1770,2,55,630000
3,1.5,1620,3,55,620000
2,1.75,2040,1,64,615000
4,3,2110,1,80,610000
4,1.75,2120,2,70,582000
3,2,2560,2,69,560000
4,2.25,2540,1,76,540000
4,2.25,1800,1,65,522000
4,1.75,1940,1,79,505000
4,2.5,2780,3,78,505000
2,2.25,1290,1,53,500000
3,1,980,2,50,499950
2,2.5,1230,2,55,490000
3,1.5,2020,2,62,465000
3,2.5,2010,1,59,453246
3,1.5,1770,3,50,450000
2,2.5,1480,3,71,420000
3,2.25,2200,3,75,410000
4,2.5,2160,1,53,383000
5,3,2480,1,69,372500
2,2.5,980,3,53,369000
3,1,1280,2,54,368000
4,2,1730,2,58,360000
4,2.5,2380,1,54,357000
2,1,910,1,67,350000
3,1.5,1720,1,80,341000
3,1,1080,2,61,339000
3,2.5,1940,2,68,335000
5,3,2100,2,61,330000
3,1.75,1440,3,63,315275
5,2.25,2180,2,54,302000
2,1.5,830,2,52,301500
2,1.75,1360,3,72,300000
3,1,1830,3,75,270000
2,1,1290,1,71,265000
2,1,1220,3,64,255000
1,1,810,1,55,235000
3,1,990,3,79,225000
3,1.5,1350,1,75,211000
3,2.5,1040,1,64,210000
3,1,1460,3,80,201000
2,1,700,3,63,192000
3,1.5,1370,2,73,185000
3,1,970,3,78,156000
3,1,1250,3,56,110000
4,2.5,5300,1,79,2560000
5,4,4430,2,56,2450000
4,4.5,5030,3,52,2450000
5,2.25,3120,3,51,1900000
5,3.25,4860,3,74,1680000
5,3.25,3370,2,77,1550000
5,4.25,3530,3,59,1400000
4,1.5,2740,3,60,1110000
4,3.25,4400,2,71,1050000
4,2.5,3490,2,67,975000
4,2.5,3520,3,67,870000
4,2.5,3560,3,52,860000
5,2.75,3150,1,52,819900
6,3,2890,2,66,799200
3,1.75,2340,1,79,780000
3,3.25,3610,3,51,777000
3,2.25,1780,2,58,771000
3,3.25,3190,1,52,757000
3,1.5,1310,3,60,717000
3,2.5,2030,1,64,700000
4,2.5,3000,3,65,675000
5,3,3410,2,62,675000
3,2,1940,1,60,665000
4,3.5,3400,2,56,660000
